TRADEDATE,ADMITTEDQUOTE,ADMITTEDVALUE,BEICLOSE,BID,BOARDID,BOARDNAME,BUYBACKDATE,CBRCLOSE,CLOSE,CLOSEAUCTIONPRICE,CLOSEPERIOD,CLOSEVAL,COUPONPERCENT,COUPONVALUE,CURRENCYID,DAILYCAPITALIZATION,DECIMALS,FACEUNIT,FACEVALUE,HIGH,HIGHBID,IRICPICLOSE,ISIN,ISSUESIZE,LASTPRICE,LASTTRADEDATE,LEGALCLOSEPRICE,LEGALOPENPRICE,LISTNAME,LOW,LOWOFFER,MARKETPRICE,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3CUR,MARKETPRICE3TRADESVALUE,MARKETPRICE3TRADESVALUECUR,MONTHLYCAPITALIZATION,MP2VALTRD,MPVALTRD,NUMBID,NUMOFFER,NUMTRADES,OFFER,OFFERDATE,OPEN,OPENPERIOD,OPENVAL,PREV,PREVLEGALCLOSEPRICE,REGNUMBER,SECID,SHORTNAME,TRADINGSESSION,TRENDCLOSE,TRENDCLSPR,TRENDWAP,TRENDWAPPR,TYPE,VALUE,VOLUME,WAPRICE,WAVAL,YIELDLASTCOUPON,YIELDTOOFFER
2018-08-10,,,,,EQRP,,,,6.54,,,,,,,,,,,7.3,,,,,,,,,,6.54,,,,,,,,,,,,,34.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,2692875955.55,,7.16,,,
2018-08-10,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-15.0,,,,,,,,,,,,,33.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,65985107.62,,0.0,,,
2018-08-13,,,,,EQRP,,,,6.8,,,,,,,,,,,7.29,,,,,,,,,,6.8,,,,,,,,,,,,,27.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,2143302594.42,,7.19,,,
2018-08-13,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,0.0,,,,,,,,,,,,,37.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,60493902.73,,0.0,,,
2018-08-14,,,,,EQRP,,,,6.99,,,,,,,,,,,7.3,,,,,,,,,,6.99,,,,,,,,,,,,,23.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,2060214508.5,,7.13,,,
2018-08-14,,,,,PSRP,,,,7.3,,,,,,,,,,,14.0,,,,,,,,,,-8.0,,,,,,,,,,,,,42.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,71370488.1,,0.0,,,
2018-08-15,,,,,EQRP,,,,7.1,,,,,,,,,,,7.29,,,,,,,,,,7.01,,,,,,,,,,,,,26.0,,,7.11,,,,,,MGNT,Магнит ао,3.0,,,,,,1206773783.12,,7.1,,,
2018-08-15,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,37.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,64405866.84,,0.0,,,
2018-08-16,,,,,EQRP,,,,9.75,,,,,,,,,,,9.75,,,,,,,,,,7.01,,,,,,,,,,,,,28.0,,,7.1,,,,,,MGNT,Магнит ао,3.0,,,,,,1898815448.77,,7.06,,,
2018-08-16,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-1.0,,,,,,,,,,,,,40.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,61663273.84,,0.0,,,
2018-08-17,,,,,EQRP,,,,6.5,,,,,,,,,,,7.15,,,,,,,,,,6.5,,,,,,,,,,,,,32.0,,,7.06,,,,,,MGNT,Магнит ао,3.0,,,,,,1813878253.44,,7.04,,,
2018-08-17,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,27.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,60610319.36,,0.0,,,
2018-08-20,,,,,EQRP,,,,7.1,,,,,,,,,,,7.2,,,,,,,,,,7.0,,,,,,,,,,,,,30.0,,,7.05,,,,,,MGNT,Магнит ао,3.0,,,,,,941306359.4,,7.07,,,
2018-08-20,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,30.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,59539599.76,,0.0,,,
2018-08-21,,,,,EQRP,,,,6.6,,,,,,,,,,,7.03,,,,,,,,,,6.6,,,,,,,,,,,,,30.0,,,7.03,,,,,,MGNT,Магнит ао,3.0,,,,,,2451896533.44,,6.95,,,
2018-08-21,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-15.0,,,,,,,,,,,,,40.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,67788340.13,,0.0,,,
2018-08-22,,,,,EQRP,,,,7.0,,,,,,,,,,,7.3,,,,,,,,,,6.81,,,,,,,,,,,,,39.0,,,7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,1762213465.96,,6.91,,,
2018-08-22,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-8.0,,,,,,,,,,,,,34.0,,,5.5,,,,,,MGNT,Магнит ао,3.0,,,,,,74426512.87,,0.0,,,
2018-08-23,,,,,EQRP,,,,6.01,,,,,,,,,,,7.1,,,,,,,,,,6.01,,,,,,,,,,,,,46.0,,,7.04,,,,,,MGNT,Магнит ао,3.0,,,,,,2625421322.4,,6.96,,,
2018-08-23,,,,,PSRP,,,,0.0,,,,,,,,,,,13.0,,,,,,,,,,-8.0,,,,,,,,,,,,,29.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,62786186.92,,0.0,,,
2018-08-24,,,,,EQRP,,,,7.0,,,,,,,,,,,7.02,,,,,,,,,,6.4,,,,,,,,,,,,,91.0,,,7.02,,,,,,MGNT,Магнит ао,3.0,,,,,,1660673289.75,,6.92,,,
2018-08-24,,,,,PSRP,,,,7.0,,,,,,,,,,,13.0,,,,,,,,,,-7.0,,,,,,,,,,,,,35.0,,,-7.0,,,,,,MGNT,Магнит ао,3.0,,,,,,65972919.95,,0.0,,,
2018-08-27,,,,,EQRP,,,,6.26,,,,,,,,,,,7.3,,,,,,,,,,6.26,,,,,,,,,,,,,42.0,,,7.02,,,,,,MGNT,Магнит ао,3.0,,,,,,866773333.08,,7.06,,,
2018-08-27,,,,,PSRP,,,,0.0,,,,,,,,,,,14.0,,,,,,,,,,-15.0,,,,,,,,,,,,,31.0,,,0.0,,,,,,MGNT,Магнит ао,3.0,,,,,,68615199.3,,0.0,,,
